id,origin,origin_airport_name,dep_timestamp,dep_delay,origin_wind_speed,dest,dest_airport_name,arr_timestamp,arr_delay,dest_wind_speed,carrier,name,tailnum,flight,air_time,distance
185035,JFK,John F Kennedy International Airport,2013-04-22T07:26:00.000-03:00,-2.0,6.6,SYR,Syracuse Hancock International Airport,2013-04-22T08:31:00.000-03:00,-13.0,3.7,B6,JetBlue Airways,N706JB,44,40.0,209
185037,JFK,John F Kennedy International Airport,2013-04-22T07:27:00.000-03:00,-3.0,6.6,SFO,San Francisco International Airport,2013-04-22T10:48:00.000-03:00,-22.0,3.3,VX,Virgin America,N847VA,11,352.0,2586
185038,JFK,John F Kennedy International Airport,2013-04-22T07:29:00.000-03:00,-2.0,6.6,SFO,San Francisco International Airport,2013-04-22T11:01:00.000-03:00,-9.0,3.3,B6,JetBlue Airways,N809JB,643,361.0,2586
185039,JFK,John F Kennedy International Airport,2013-04-22T07:30:00.000-03:00,0.0,6.6,LAX,Los Angeles International Airport,2013-04-22T10:51:00.000-03:00,1.0,3.3,AA,American Airlines Inc.,N320AA,33,337.0,2475
185043,EWR,Newark Liberty International Airport,2013-04-22T07:35:00.000-03:00,26.0,4.2,LAX,Los Angeles International Airport,2013-04-22T10:17:00.000-03:00,8.0,3.3,UA,United Air Lines Inc.,N578UA,387,319.0,2454
185049,EWR,Newark Liberty International Airport,2013-04-22T07:41:00.000-03:00,11.0,4.2,SFO,San Francisco International Airport,2013-04-22T11:03:00.000-03:00,-2.0,3.3,VX,Virgin America,N853VA,183,357.0,2565
185051,EWR,Newark Liberty International Airport,2013-04-22T07:45:00.000-03:00,-10.0,4.2,CVG,Cincinnati Northern Kentucky International Airport,2013-04-22T09:43:00.000-03:00,-24.0,2.2,9E,Endeavor Air Inc.,N8932C,3879,94.0,569
185067,EWR,Newark Liberty International Airport,2013-04-22T07:54:00.000-03:00,-8.0,4.2,LAX,Los Angeles International Airport,2013-04-22T11:00:00.000-03:00,-23.0,3.3,UA,United Air Lines Inc.,N462UA,556,337.0,2454
185076,EWR,Newark Liberty International Airport,2013-04-22T07:58:00.000-03:00,-1.0,4.2,DFW,Dallas Fort Worth International Airport,2013-04-22T10:48:00.000-03:00,0.0,6.2,UA,United Air Lines Inc.,N37267,1028,194.0,1372
185098,JFK,John F Kennedy International Airport,2013-04-22T08:22:00.000-03:00,-3.0,6.6,SFO,San Francisco International Airport,2013-04-22T11:37:00.000-03:00,-15.0,3.3,UA,United Air Lines Inc.,N573UA,397,346.0,2586
185107,JFK,John F Kennedy International Airport,2013-04-22T08:26:00.000-03:00,26.0,6.6,SFO,San Francisco International Airport,2013-04-22T11:54:00.000-03:00,19.0,3.3,AA,American Airlines Inc.,N327AA,59,353.0,2586
185110,EWR,Newark Liberty International Airport,2013-04-22T08:26:00.000-03:00,-4.0,4.2,SFO,San Francisco International Airport,2013-04-22T11:49:00.000-03:00,-14.0,3.3,UA,United Air Lines Inc.,N75436,1281,353.0,2565
185117,EWR,Newark Liberty International Airport,2013-04-22T08:34:00.000-03:00,-1.0,4.2,CVG,Cincinnati Northern Kentucky International Airport,2013-04-22T10:53:00.000-03:00,12.0,2.2,EV,ExpressJet Airlines Inc.,N16987,4603,97.0,569
185129,JFK,John F Kennedy International Airport,2013-04-22T08:44:00.000-03:00,4.0,6.6,LAX,Los Angeles International Airport,2013-04-22T11:46:00.000-03:00,-4.0,3.3,UA,United Air Lines Inc.,N502UA,443,338.0,2475
185136,EWR,Newark Liberty International Airport,2013-04-22T08:49:00.000-03:00,5.0,4.2,PWM,Portland International Jetport,2013-04-22T10:12:00.000-03:00,4.0,4.1,EV,ExpressJet Airlines Inc.,N13970,4558,50.0,284
185139,JFK,John F Kennedy International Airport,2013-04-22T08:54:00.000-03:00,-6.0,6.6,LAX,Los Angeles International Airport,2013-04-22T12:36:00.000-03:00,12.0,3.3,DL,Delta Air Lines Inc.,N709TW,120,354.0,2475
185144,JFK,John F Kennedy International Airport,2013-04-22T08:55:00.000-03:00,-5.0,6.6,LAX,Los Angeles International Airport,2013-04-22T12:25:00.000-03:00,0.0,3.3,AA,American Airlines Inc.,N319AA,1,341.0,2475
185146,EWR,Newark Liberty International Airport,2013-04-22T08:55:00.000-03:00,-5.0,4.2,LAX,Los Angeles International Airport,2013-04-22T12:33:00.000-03:00,30.0,3.3,UA,United Air Lines Inc.,N73152,1735,336.0,2454
185162,EWR,Newark Liberty International Airport,2013-04-22T09:13:00.000-03:00,-7.0,4.2,DFW,Dallas Fort Worth International Airport,2013-04-22T12:30:00.000-03:00,5.0,6.2,AA,American Airlines Inc.,N492AA,1739,203.0,1372
185163,JFK,John F Kennedy International Airport,2013-04-22T09:14:00.000-03:00,4.0,6.6,LAX,Los Angeles International Airport,2013-04-22T12:35:00.000-03:00,0.0,3.3,VX,Virgin America,N840VA,407,347.0,2475
185168,EWR,Newark Liberty International Airport,2013-04-22T09:22:00.000-03:00,7.0,4.2,LAX,Los Angeles International Airport,2013-04-22T12:18:00.000-03:00,-12.0,3.3,VX,Virgin America,N844VA,161,332.0,2454
185176,EWR,Newark Liberty International Airport,2013-04-22T09:30:00.000-03:00,28.0,4.2,DEN,Denver International Airport,2013-04-22T11:51:00.000-03:00,23.0,5.4,UA,United Air Lines Inc.,N17128,1643,230.0,1605
185194,JFK,John F Kennedy International Airport,2013-04-22T09:51:00.000-03:00,-4.0,6.6,PWM,Portland International Jetport,2013-04-22T11:05:00.000-03:00,-3.0,4.1,B6,JetBlue Airways,N216JB,600,51.0,273
185197,EWR,Newark Liberty International Airport,2013-04-22T09:54:00.000-03:00,24.0,4.2,SFO,San Francisco International Airport,2013-04-22T13:09:00.000-03:00,0.0,3.3,UA,United Air Lines Inc.,N842UA,220,348.0,2565
185203,JFK,John F Kennedy International Airport,2013-04-22T09:56:00.000-03:00,-3.0,6.6,IAD,Washington Dulles International Airport,2013-04-22T11:36:00.000-03:00,26.0,3.4,EV,ExpressJet Airlines Inc.,N827AS,5711,48.0,228
185205,JFK,John F Kennedy International Airport,2013-04-22T09:57:00.000-03:00,-6.0,6.6,SFO,San Francisco International Airport,2013-04-22T13:14:00.000-03:00,-8.0,3.3,UA,United Air Lines Inc.,N596UA,405,350.0,2586
185206,JFK,John F Kennedy International Airport,2013-04-22T09:58:00.000-03:00,-2.0,6.6,SFO,San Francisco International Airport,2013-04-22T13:10:00.000-03:00,-24.0,3.3,DL,Delta Air Lines Inc.,N707TW,1765,351.0,2586
185213,EWR,Newark Liberty International Airport,2013-04-22T10:04:00.000-03:00,2.0,4.2,LAX,Los Angeles International Airport,2013-04-22T13:07:00.000-03:00,-1.0,3.3,UA,United Air Lines Inc.,N34222,1200,339.0,2454
185219,EWR,Newark Liberty International Airport,2013-04-22T10:10:00.000-03:00,-5.0,4.2,SFO,San Francisco International Airport,2013-04-22T13:36:00.000-03:00,0.0,3.3,UA,United Air Lines Inc.,N464UA,596,351.0,2565
185229,JFK,John F Kennedy International Airport,2013-04-22T10:25:00.000-03:00,-5.0,6.6,LAX,Los Angeles International Airport,2013-04-22T13:50:00.000-03:00,10.0,3.3,AA,American Airlines Inc.,N336AA,19,341.0,2475
