airport_code,airport_name,latitude,longitude
PDX,Portland International Airport,45.58869934,-122.5979996
ACK,Nantucket Memorial Airport,41.25310135,-70.06020355
MIA,Miami International Airport,25.79319953918457,-80.29060363769531
TPA,Tampa International Airport,27.975500106811523,-82.533203125
BWI,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297
OKC,Will Rogers World Airport,35.39310073852539,-97.60070037841797
SMF,Sacramento International Airport,38.69540023803711,-121.59100341796875
PHX,Phoenix Sky Harbor International Airport,33.435302,-112.005905
STL,St Louis Lambert International Airport,38.748697,-90.370003
PWM,Portland International Jetport,43.646198,-70.309303
DFW,Dallas Fort Worth International Airport,32.896801,-97.038002
MHT,Manchester-Boston Regional Airport,42.932598,-71.435699
GSP,Greenville Spartanburg International Airport,34.895699,-82.218903
HDN,Yampa Valley Airport,40.48120117,-107.2180023
EGE,Eagle County Regional Airport,39.64260101,-106.9179993
SFO,San Francisco International Airport,37.61899948120117,-122.375
MEM,Memphis International Airport,35.04240036010742,-89.97669982910156
BHM,Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189
ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101
FLL,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702
RIC,Richmond International Airport,37.50519943237305,-77.3197021484375
DAY,James M Cox Dayton International Airport,39.902400970458984,-84.21939849853516
OMA,Eppley Airfield,41.3032,-95.894096
MVY,Martha's Vineyard Airport,41.3931007385,-70.6143035889
CAE,Columbia Metropolitan Airport,33.93880081176758,-81.11949920654297
ORD,Chicago O'Hare International Airport,41.9786,-87.9048
BTV,Burlington International Airport,44.471900939899996,-73.15329742429999
ILM,Wilmington International Airport,34.270599365234375,-77.90260314941406
RDU,Raleigh Durham International Airport,35.877601623535156,-78.7874984741211
MKE,General Mitchell International Airport,42.947200775146484,-87.89659881591797
SYR,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039
PIT,Pittsburgh International Airport,40.49150085,-80.23290253
MTJ,Montrose Regional Airport,38.509799957300004,-107.893997192
MDW,Chicago Midway International Airport,41.785999,-87.752403
IND,Indianapolis International Airport,39.7173,-86.294403
DTW,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203
HOU,William P Hobby Airport,29.64539909,-95.27890015
TYS,McGhee Tyson Airport,35.81100082,-83.9940033
JAX,Jacksonville International Airport,30.49410057067871,-81.68789672851562
LAX,Los Angeles International Airport,33.942501,-118.407997
MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802
BGR,Bangor International Airport,44.80739974975586,-68.8281021118164
MCO,Orlando International Airport,28.429399490356445,-81.30899810791016
ROC,Greater Rochester International Airport,43.1189,-77.672401
SAN,San Diego International Airport,32.7336006165,-117.190002441
BZN,Gallatin Field,45.77750015,-111.1529999
PHL,Philadelphia International Airport,39.87189865112305,-75.24109649658203
DSM,Des Moines International Airport,41.534,-93.663101
SLC,Salt Lake City International Airport,40.785749,-111.979746
SAT,San Antonio International Airport,29.533701,-98.469803
TVC,Cherry Capital Airport,44.74140167236328,-85.58219909667969
